"","journal"
"1","Law and Human Behavior"
"2","Journal of Psychotherapy Integration"
"3","Dreaming"
"4","American Journal of Orthopsychiatry"
"5","American Psychologist"
"6","Canadian Journal of Behavioural Science"
"7","Canadian Journal of Experimental Psychology"
"8","Developmental Psychology"
"9","Journal of Abnormal Psychology"
"10","Journal of Applied Psychology"
"11","Journal of Consulting and Clinical Psychology"
"12","Journal of Counseling Psychology"
"13","Journal of Educational Psychology"
"14","Journal of Personality and Social Psychology"
"15","Psychological Bulletin"
"16","Psychological Review"
"17","Psychotherapy: Theory, Research, Practice, Training"
"18","Rehabilitation Psychology"
"19","Journal of Experimental Psychology: Human Perception and Performance"
"20","Journal of Experimental Psychology: General"
"21","Health Psychology"
"22","Journal of Experimental Psychology: Learning, Memory, and Cognition"
"23","Canadian Psychology"
"24","Journal of Comparative Psychology"
"25","Behavioral Neuroscience"
"26","Psychoanalytic Psychology"
"27","Consulting Psychology Journal: Practice and Research"
"28","Psychology of Addictive Behaviors"
"29","Journal of Family Psychology"
"30","Neuropsychology"
"31","Psychological Assessment"
"32","School Psychology Quarterly"
"33","Experimental and Clinical Psychopharmacology"
"34","International Journal of Stress Management"
"35","Psychology, Public Policy, and Law"
"36","Journal of Experimental Psychology: Applied"
"37","Journal of Occupational Health Psychology"
"38","Psychological Methods"
"39","Review of General Psychology"
"40","Group Dynamics: Theory, Research, and Practice"
"41","History of Psychology"
"42","Cultural Diversity and Mental Health"
"43","Cultural Diversity and Ethnic Minority Psychology"
"44","Psychology of Men & Masculinities"
"45","Emotion"
"46","Psychological Services"
"47","International Journal of Play Therapy"
"48","Psychology of Aesthetics, Creativity, and the Arts"
"49","Training and Education in Professional Psychology"
"50","Psychology of Religion and Spirituality"
"51","Personality Disorders: Theory, Research, and Treatment"
"52","Psychology of Violence"
"53","International Perspectives in Psychology: Research, Practice, Consultation"
"54","Couple and Family Psychology: Research and Practice"
"55","Psychology of Popular Media Culture"
"56","Decision"
"57","Qualitative Psychology"
"58","Spirituality in Clinical Practice"
"59","Psychology of Consciousness: Theory, Research, and Practice"
"60","Motivation Science"
"61","Stigma and Health"
"62","Psychological Trauma: Theory, Research, Practice, and Policy"
"63","Journal of Theoretical and Philosophical Psychology"
"64","Journal of Neuroscience, Psychology, and Economics"
"65","Journal of Diversity in Higher Education"
"66","Psychotherapy"
"67","Sport, Exercise, and Performance Psychology"
"68","Peace and Conflict: Journal of Peace Psychology"
"69","Psychomusicology: Music, Mind, and Brain"
"70","Clinical Practice in Pediatric Psychology"
"71","Evolutionary Behavioral Sciences"
"72","Canadian Journal of Psychology"
"73","School Psychology"
"74","Psychomusicology: Music, Mind and Brain"
"75","Psychomusicology: a Journal of Research in Music Cognition"
"76","Psychiatric Rehabilitation Journal"
"77","Military Psychology"
"78","Psychosocial Rehabilitation Journal"
"79","Journal of Rural Mental Health"
"80","Journal of Social, Evolutionary, and Cultural Psychology"
"81","Journal of Threat Assessment and Management"
"82","Psychology of Sexual Orientation and Gender Diversity"
"83","Health: the Journal of Collaborative Family Healthcare"
